symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2020-07-24,1511.87,1517.6362,1488.4,1498.93,1544404,1511.87,1517.6362,1488.4,1498.93,1544404,0.0,1.0
GOOG,2020-07-27,1530.2,1540.97,1515.21,1515.6,1245980,1530.2,1540.97,1515.21,1515.6,1245980,0.0,1.0
GOOG,2020-07-28,1500.34,1526.48,1497.66,1525.18,1702174,1500.34,1526.48,1497.66,1525.18,1702174,0.0,1.0
GOOG,2020-07-29,1522.02,1531.2522,1501.33,1506.32,1106534,1522.02,1531.2522,1501.33,1506.32,1106534,0.0,1.0
GOOG,2020-07-30,1531.45,1537.87,1492.22,1497.0,1671396,1531.45,1537.87,1492.22,1497.0,1671396,0.0,1.0
GOOG,2020-07-31,1482.96,1508.95,1454.03,1505.01,3429036,1482.96,1508.95,1454.03,1505.01,3429036,0.0,1.0
GOOG,2020-08-03,1474.45,1490.47,1465.64,1486.64,2331514,1474.45,1490.47,1465.64,1486.64,2331514,0.0,1.0
GOOG,2020-08-04,1464.97,1485.56,1458.65,1476.57,1903489,1464.97,1485.56,1458.65,1476.57,1903489,0.0,1.0
GOOG,2020-08-05,1473.61,1482.41,1463.46,1469.3,1979957,1473.61,1482.41,1463.46,1469.3,1979957,0.0,1.0
GOOG,2020-08-06,1500.1,1502.39,1466.0,1471.75,1995368,1500.1,1502.39,1466.0,1471.75,1995368,0.0,1.0
GOOG,2020-08-07,1494.49,1516.845,1481.64,1500.0,1577826,1494.49,1516.845,1481.64,1500.0,1577826,0.0,1.0
GOOG,2020-08-10,1496.1,1504.075,1473.08,1487.18,1289530,1496.1,1504.075,1473.08,1487.18,1289530,0.0,1.0
GOOG,2020-08-11,1480.32,1510.0,1478.0,1492.44,1454365,1480.32,1510.0,1478.0,1492.44,1454365,0.0,1.0
GOOG,2020-08-12,1506.62,1512.3859,1485.25,1485.58,1437655,1506.62,1512.3859,1485.25,1485.58,1437655,0.0,1.0
GOOG,2020-08-13,1518.45,1537.25,1508.005,1510.34,1455208,1518.45,1537.25,1508.005,1510.34,1455208,0.0,1.0
GOOG,2020-08-14,1507.73,1521.9,1502.88,1515.66,1355200,1507.73,1521.9,1502.88,1515.66,1355200,0.0,1.0
GOOG,2020-08-17,1517.98,1525.61,1507.97,1514.67,1364082,1517.98,1525.61,1507.97,1514.67,1364082,0.0,1.0
GOOG,2020-08-18,1558.6,1562.47,1523.71,1526.18,2027086,1558.6,1562.47,1523.71,1526.18,2027086,0.0,1.0
GOOG,2020-08-19,1547.53,1573.68,1543.95,1553.31,1660611,1547.53,1573.68,1543.95,1553.31,1660611,0.0,1.0
GOOG,2020-08-20,1581.75,1585.87,1538.2,1543.45,1706877,1581.75,1585.87,1538.2,1543.45,1706877,0.0,1.0
